Class_name,F1_values,Accuracy,Precission,Recall
Airport,0.9589041,0.9722222,0.9459459,0.9722222
BareLand,0.88135594,0.83870965,0.9285714,0.83870965
BaseballField,0.9767442,0.95454544,1.0,0.95454544
Beach,1.0,1.0,1.0,1.0
Bridge,0.98630136,1.0,0.972973,1.0
Center,0.9230769,0.9230769,0.9230769,0.9230769
Church,0.96,1.0,0.9230769,1.0
Commercial,0.8717949,0.9714286,0.7906977,0.9714286
DenseResidential,0.95238096,0.9756098,0.9302326,0.9756098
Desert,0.8852459,0.9,0.87096775,0.9
Farmland,0.9736842,1.0,0.94871795,1.0
Forest,1.0,1.0,1.0,1.0
Industrial,0.9382716,0.974359,0.9047619,0.974359
Meadow,1.0,1.0,1.0,1.0
MediumResidential,0.9830508,1.0,0.96666664,1.0
Mountain,1.0,1.0,1.0,1.0
Park,0.9117647,0.8857143,0.93939394,0.8857143
Parking,0.9736842,0.94871795,1.0,0.94871795
Playground,1.0,1.0,1.0,1.0
Pond,0.96385545,0.95238096,0.9756098,0.95238096
Port,0.94871795,0.9736842,0.925,0.9736842
RailwayStation,0.96,0.9230769,1.0,0.9230769
Resort,0.7777778,0.7241379,0.84,0.7241379
River,1.0,1.0,1.0,1.0
School,0.754717,0.6666667,0.8695652,0.6666667
SparseResidential,0.96666664,0.96666664,0.96666664,0.96666664
Square,0.85294116,0.8787879,0.82857144,0.8787879
Stadium,0.96428573,0.9310345,1.0,0.9310345
StorageTanks,0.9577465,0.9444444,0.9714286,0.9444444
Viaduct,1.0,1.0,1.0,1.0
