Class_name,F1_values,Accuracy,Precission,Recall
Airport,0.9722222,0.9722222,0.9722222,0.9722222
BareLand,0.91525424,0.87096775,0.96428573,0.87096775
BaseballField,0.9777778,1.0,0.95652175,1.0
Beach,1.0,1.0,1.0,1.0
Bridge,0.9577465,0.9444444,0.9714286,0.9444444
Center,0.89361703,0.8076923,1.0,0.8076923
Church,0.96,1.0,0.9230769,1.0
Commercial,0.93333334,1.0,0.875,1.0
DenseResidential,0.9411765,0.9756098,0.90909094,0.9756098
Desert,0.9354839,0.96666664,0.90625,0.96666664
Farmland,0.9866667,1.0,0.9736842,1.0
Forest,0.98039216,1.0,0.96153843,1.0
Industrial,0.9350649,0.9230769,0.94736844,0.9230769
Meadow,1.0,1.0,1.0,1.0
MediumResidential,0.98245615,0.9655172,1.0,0.9655172
Mountain,1.0,1.0,1.0,1.0
Park,0.84375,0.7714286,0.9310345,0.7714286
Parking,0.987013,0.974359,1.0,0.974359
Playground,0.972973,0.972973,0.972973,0.972973
Pond,0.9756098,0.95238096,1.0,0.95238096
Port,0.9736842,0.9736842,0.9736842,0.9736842
RailwayStation,0.96153843,0.96153843,0.96153843,0.96153843
Resort,0.7692308,0.86206895,0.6944444,0.86206895
River,0.9411765,0.9756098,0.90909094,0.9756098
School,0.8148148,0.73333335,0.9166667,0.73333335
SparseResidential,1.0,1.0,1.0,1.0
Square,0.8923077,0.8787879,0.90625,0.8787879
Stadium,0.98245615,0.9655172,1.0,0.9655172
StorageTanks,0.9041096,0.9166667,0.8918919,0.9166667
Viaduct,0.9767442,1.0,0.95454544,1.0
